Frequency,Nominal,Min,Max
88000,-158.47979195730642,-161.55380373693134,-154.60233556931604
90000,-158.98623826496296,-161.99377485744026,-155.1984230829132
92000,-159.4705548233092,-162.41516164065388,-155.7678524528626
94000,-159.93424322009892,-162.8192376486385,-156.3124279174042
96000,-160.37867514054292,-163.2071672683434,-156.8337970413269
98000,-160.80510614448946,-163.5800172719538,-157.3334672436622
100000,-161.2146877371326,-163.93876694155566,-157.81282030712148
102000,-161.60847797263295,-164.28431696112247,-158.2731251452642
104000,-161.9874507928703,-164.61749724686163,-158.71554906222877
106000,-162.35250427265632,-164.93907386049705,-159.14116770523864
108000,-162.7044679169763,-165.2497551280928,-159.5509738809304
110000,-163.04410913429328,-165.5501970687146,-159.94588538194765
112000,-163.37213899189084,-165.84100822191974,-160.32675194944738
115000,-163.84384304350556,-166.26039310380503,-160.8734255388772
118000,-164.29292987609617,-166.66111735052212,-161.39268446555909
120000,-164.58066655841955,-166.91868247909525,-161.7247115370958
122000,-164.8596637122608,-167.16908295204223,-162.04611724599644
125000,-165.26277883048107,-167.5321173918448,-162.5095064803649
128000,-165.64870740330036,-167.8811694101097,-162.95194044529597
130000,-165.8970956827175,-168.10666570507425,-163.23602607270956
132000,-166.13878657015616,-168.32676249855635,-163.5119134362208
135000,-166.48949491021872,-168.64741723396793,-163.911235612066
138000,-166.82693732117744,-168.95749055627215,-164.2942427730906
140000,-167.04500738266458,-169.15874462413814,-164.54108124908365
142000,-167.2578754835242,-169.3559014378763,-164.78148663586634
145000,-167.56796741116852,-169.64443007321927,-165.13067182106084
148000,-167.86770223982109,-169.92492072180733,-165.4669659088053
150000,-168.0621321577002,-170.1077660704598,-165.68442312712483
155000,-168.5307772751197,-170.55163616662708,-166.20617337583585
160000,-168.9767741212495,-170.97858024669338,-166.69927629869537
165000,-169.40265256095367,-171.39084766766823,-167.16667680777613
170000,-169.8106524011854,-171.79044081441867,-167.6109728972404
175000,-170.20276579017695,-172.17915102962698,-168.0344666200187
180000,-170.58077238091758,-172.55858842978108,-168.43920632470326
185000,-170.94626866029367,-172.93020678520247,-168.82702185250002
190000,-171.3006925431651,-173.29532438894242,-169.19955402662325
195000,-171.64534409988556,-173.65514164580117,-169.55827948596016
200000,-171.98140310810655,-174.01075596354903,-169.9045316989679
205000,-172.30994398190632,-174.36317441261522,-170.2395188264558
210000,-172.63194852365496,-174.71332452996262,-170.56433897132789
215000,-172.94831685939855,-175.0620635716054,-170.87999325077536
220000,-173.2598768515875,-175.41018646178452,-171.18739704530807
225000,-173.56739222967343,-175.75843264185013,-171.48738971451638
230000,-173.8715696364297,-176.10749198586507,-171.7807430178659
235000,-174.17306475350915,-176.4580099209201,-172.0681684373437
240000,-174.4724876419642,-176.81059186664487,-172.35032356524005
245000,-174.7704074108642,-177.16580708927702,-172.62781769310936
250000,-175.06735630868886,-177.5241920500184,-172.90121671572118
255000,-175.3638333170318,-177.88625331457717,-173.1710474455825
260000,-175.6603073136685,-178.25247008021623,-173.43780141860572
270000,-176.2549876730126,-178.9991629196972,-173.96388866182934
275000,-176.55400478675568,-179.38047883614314,-174.22405704076758
280000,-176.85464449831645,-179.76763298202505,-174.48282388605372
285000,-177.1572610682825,-180.1609951863158,-174.7405478658103
290000,-177.4621912374134,-180.56091725725105,-174.99756770346352
295000,-177.76975556967545,-180.96773383116974,-175.25420385739073
300000,-178.0802596424683,-181.3817630710788,-175.51076002595218
305000,-178.39399510057834,-181.8033072288376,-175.76752449788972
310000,-178.71124058819282,-182.23265308311562,-176.02477136544323
315000,-179.03226257143243,-182.67007226382813,-176.28276161528223
320000,-179.35731606225104,-183.11582147255675,-176.54174411042015
330000,-180.02048407116146,-184.03326280057544,-177.06362588936912
340000,-180.70257778269306,-184.98673472337853,-177.59219662461018
350000,-181.4052799153574,-185.97775552167542,-178.12909050500897
360000,-182.1301331564653,-187.00759728584626,-178.6758138261562
370000,-182.8785472210279,-188.07727553321277,-179.23375943583594
390000,-184.45105447305815,-190.3388395414448,-180.38838908364912
400000,-185.27732789003545,-191.5313455466641,-180.98738479254618
410000,-186.13151989910253,-192.76489550452578,-181.60223895887043
420000,-187.01439350503313,-194.03899698282336,-182.2339094115376
432000,-188.11257033656779,-195.62023818475484,-183.0153524949291
445000,-189.35079753682948,-197.3952619113456,-183.8922895805386
458000,-190.64007489127107,-199.2311295152254,-184.80234992646007
475000,-192.40323469184824,-201.7156144160658,-186.04466971129912
488000,-193.80998900195036,-203.6719928195978,-187.03607082751236
500000,-195.152540804824,-205.51470518455469,-187.98391383945412
515000,-196.88817453898872,-207.85820101570351,-189.21366820619215
530000,-198.68448396302892,-210.2340676343906,-190.49393255271158
550000,-201.16632268679507,-213.4282960027896,-192.27974821066644
565000,-203.08568127190142,-215.8253436658397,-193.6776913130158
580000,-205.04755882080372,-218.20794263458887,-195.12478457972438
600000,-207.7167484748054,-221.33920161826873,-197.1279592835626
615000,-209.74814885138304,-223.6376482968157,-198.68279683105243
630000,-211.7952660281076,-225.88127565123065,-200.27950082221568
645000,-213.84918844240798,-228.0609936798184,-201.9146930779867
660000,-215.90095062950647,-230.16936601348604,-203.5844744563738
675000,-217.94173759778317,-232.2006194704201,-205.28446336567595
688000,-219.69498233661952,-233.89539528997392,-206.77851274527376
700000,-221.29588378440585,-235.40401450961366,-208.17167244289163
715000,-223.26746763016615,-237.21319282633712,-209.9277442140924
732000,-225.45431041813777,-239.16016088799464,-211.93096486211167
750000,-227.70554969422858,-241.10277599244034,-214.05816154520522
765000,-229.52513647800905,-242.63002491725203,-215.828614543198
780000,-231.28923798778962,-244.07633225541986,-217.5910174238956
800000,-233.55002134300815,-245.8835391119171,-219.9189523466487
820000,-235.70214359205582,-247.55896487338373,-222.21071510525988
840000,-237.74314932055466,-249.11053558207726,-224.45529216077963
860000,-239.67260357415844,-250.54645230827813,-226.6430490382565
880000,-241.49173974660505,-251.87491995099347,-228.76586821436337
900000,-243.20311408340493,-253.10395298236665,-230.8172054850576
920000,-244.81028602673211,-254.2412432223147,-232.79207337337243
940000,-246.31753570557552,-255.29407591368818,-234.6869646471041
960000,-247.7296235305417,-256.2692822700554,-236.4997312007321
980000,-249.05159226153907,-257.17321876615716,-238.22943368971784
1000000,-250.28860893020223,-258.0117654394976,-239.87617590892182
