Frequency,Nominal,Min,Max
28000,1730.9179106062693,1609.7811723398431,1861.817221429339
28500,1716.5314071073549,1594.093622326893,1847.680547862264
29000,1703.181373741034,1579.6427179887194,1834.4609124479887
29500,1690.7844882214106,1566.3269758278348,1822.0878785857597
30000,1679.2646608586379,1554.0535170601818,1810.4970791080782
30500,1668.5523755828456,1542.7373330251094,1799.6296490769073
31000,1658.5840925486282,1532.3006122315633,1789.4317147498832
31500,1649.3017064842907,1522.6721238839477,1779.8539329042533
32000,1640.6520555254629,1513.7866532409048,1770.8510753346088
33000,1625.0603973393659,1498.0109279732276,1754.4075819561783
34000,1611.466769876136,1484.5534585678647,1739.8083419844786
35000,1599.5833932588582,1473.0616854227835,1726.8057824065882
36000,1589.1678066514116,1463.2393357360354,1715.189990000378
37000,1580.0152497495628,1454.8371326045897,1704.7824331809106
39000,1564.8321008379091,1441.4858675140285,1687.0047719477852
40000,1558.5292568164366,1436.2097974485162,1679.3924746334312
41000,1552.9371123696278,1431.6900276134534,1672.4976179863515
42000,1547.9644036956167,1427.8190043072009,1666.2370663123065
43200,1542.7054581101481,1423.9024341422057,1659.461021523298
44500,1537.7559566503044,1420.4129187504018,1652.9113817773111
45800,1533.4665531896374,1417.5728584790156,1647.073615500863
47500,1528.6888997283193,1414.6539510343835,1640.3562547196948
48800,1525.5682275601328,1412.9157505277826,1635.8201077013998
50000,1523.0335389438796,1411.6216422167483,1632.0317130286492
51500,1520.264495876368,1410.3507687572608,1627.766530160501
53000,1517.8733165300912,1409.396240772342,1623.9565891004588
55000,1515.1730247531475,1408.5133618730024,1619.480752248703
56500,1513.452796278115,1408.0826651784628,1616.5120773895176
58000,1511.9512487317347,1407.8087960920589,1613.8297255545424
60000,1510.2355090922106,1407.6367934732948,1610.6388202228798
61500,1509.1300671842032,1407.6220992912774,1608.4969301647066
63000,1508.1563388000432,1407.6843337375776,1606.5428990898154
64500,1507.2965293061206,1407.8082498878575,1604.7556332281158
66000,1506.535541027154,1407.9813350386469,1603.1168696155012
67500,1505.8605212697837,1408.1933066463323,1601.610740328522
68800,1505.336516490774,1408.4018921525214,1600.4019758491734
70000,1504.8974351216063,1408.6107190931427,1599.358487507063
71500,1504.402156539796,1408.888976651527,1598.1430133929675
73200,1503.9042603762007,1409.2216149004005,1596.8734717782406
75000,1503.4408545810777,1409.587523277856,1595.641137954509
76500,1503.098294474263,1409.8992053082004,1594.6930351189267
78000,1502.790513535294,1410.2142098331362,1593.8096567802227
80000,1502.4274949488533,1410.6357410271232,1592.7226352062014
82000,1502.1113524331695,1411.0554031437778,1591.7285388215998
84000,1501.8353868827949,1411.4701640367905,1590.8170484365066
86000,1501.5939652050504,1411.877760564503,1589.9792322024673
88000,1501.3823331129386,1412.2765323095402,1589.2073293721319
90000,1501.19646381694,1412.6652912427037,1588.4945720273765
92000,1501.0329351719934,1413.0432192701317,1587.835037416025
94000,1500.8888294907933,1413.4097874971987,1587.223525089059
96000,1500.761651497759,1413.7646924698233,1586.655454230107
98000,1500.64926086777,1414.107805734493,1586.1267775021154
100000,1500.549816542063,1414.4391338806508,1585.6339084656486
102000,1500.4617305941838,1414.7587868577432,1585.1736601967045
