Frequency,Nominal,Min,Max
23000,-63.36086050178149,-71.94941917922473,-55.28033150805072
23500,-62.1503363099487,-70.80931108494242,-54.096530447108364
24000,-60.963957568336326,-69.67791991208335,-52.94788488571153
24500,-59.80255444182941,-68.55688461231938,-51.83403913805224
25000,-58.66675847210986,-67.44768635664005,-50.754496373155895
25500,-57.557020504123315,-66.35165185983765,-49.708643382856025
26000,-56.4736284200366,-65.2699578998456,-48.69577276166842
27000,-54.3863215248297,-63.15358313499631,-46.76579361953251
27500,-53.382319451292254,-62.12056017918387,-45.84696448483415
28000,-52.404519213620205,-61.10520810701527,-44.95770450004213
28500,-51.45263690352265,-60.108051608242924,-44.09708484054631
29000,-50.52631629193759,-59.129508078742,-43.26416792635211
29500,-49.62514034827588,-58.16989581993962,-42.458015312372225
30000,-48.74864167629067,-57.22944219387952,-41.67769424206083
30500,-47.89631189955242,-56.308291635307796,-40.92228302754424
31000,-47.06761004350797,-55.40651343861998,-40.190875406911005
31500,-46.26196997097812,-54.52410925331415,-39.48258401603889
32000,-45.47880693435227,-53.661020236373815,-38.79654309888676
33000,-43.97751359192083,-51.99229009319062,-37.48786950662383
34000,-42.558879610002954,-50.39888942753964,-36.258425873062556
35000,-41.21805191514289,-48.87880678483224,-35.10221069228675
36000,-39.9502682172494,-47.429608960789515,-34.013656705622694
37000,-38.7509222206666,-46.048571171900456,-32.9876235655751
39000,-36.54014072719248,-43.47923572436176,-31.104587690043996
40000,-35.52058201823029,-42.28488510046053,-30.239263762943608
41000,-34.55323316891997,-41.14670707423646,-29.419766504226054
42000,-33.63463898083593,-40.06173437770149,-28.642762691839216
43200,-32.59216537725939,-38.825947767718844,-27.76217458346355
44500,-31.530882707524903,-37.563425996109096,-26.866783631702912
45800,-30.53460318269717,-36.3746112063514,-26.027023514585142
47500,-29.320962066966224,-34.922322512636995,-25.004802059639243
48800,-28.45497509500614,-33.88369427907134,-24.275734708870083
50000,-27.69923694949268,-32.97594271017237,-23.639607066330715
51500,-26.80871470632836,-31.904945233437218,-22.89006625153443
53000,-25.973363685614242,-30.89922748714866,-22.186899307915915
55000,-24.93715276125327,-29.65061920000643,-21.314425585294718
56500,-24.212719630388026,-28.777222487979678,-20.70422598715663
58000,-23.529321917847827,-27.953100647885876,-20.12835280840444
60000,-22.676259818334746,-26.92430018431167,-19.409114915055607
61500,-22.07625589314415,-26.20075645593669,-18.90293173056799
63000,-21.50744494968887,-25.51496090819816,-18.422802502848157
64500,-20.96747951748978,-24.86412293959917,-17.966765210248866
66000,-20.45423611955297,-24.24570568726265,-17.533048011949177
67500,-19.96579019394105,-23.657400183753676,-17.120047180277133
68800,-19.56117382997062,-23.17026117344573,-16.777742426777362
70000,-19.202144456244913,-22.73817466206734,-16.473857976427038
71500,-18.77170183779328,-22.220371107798353,-16.109341376910415
73200,-18.306907182581504,-21.661546566800883,-15.715496648821794
